
DATASET A
node_best	edge_best	node_avg	edge_avg
0.86	0.19	0.836396	0.21967
0.87	0.17	0.858158	0.235876
0.82	0.12	0.839269	0.198989
0.89	0.08	0.861952	0.229209
0.84	0.31	0.835766	0.21018
0.87	0.27	0.857477	0.222062
0.85	0.32	0.84977	0.216817
0.88	0.16	0.846977	0.217718
0.87	0.36	0.844244	0.222252
0.85	0.33	0.840601	0.227457
0.86	0.27	0.86012	0.234805
0.86	0.05	0.854535	0.23024
0.88	0.21	0.852472	0.23025
0.86	0.1	0.863233	0.231181
0.86	0.2	0.8505	0.226897
0.88	0.4	0.856797	0.245616
0.88	0.3	0.862412	0.243604
0.86	0.3	0.841231	0.205986
0.87	0.27	0.851962	0.236687
0.85	0.27	0.848178	0.227337
0.86	0.34	0.842422	0.220971
0.85	0.34	0.840981	0.216547
0.87	0.34	0.838549	0.210661
0.86	0.28	0.857798	0.234775
0.88	0.17	0.854895	0.2201
0.87	0.31	0.875265	0.241742
0.83	0.2	0.848028	0.226476
0.85	0.42	0.825946	0.214745
0.89	0.36	0.856466	0.234515
0.86	0.23	0.852793	0.234935
0.87	0.33	0.836216	0.217197
0.81	0.24	0.813574	0.196687
0.87	0.23	0.8501	0.235776
0.87	0.19	0.852212	0.22998
0.82	0.05	0.812973	0.225285
0.86	0.38	0.864314	0.228999
0.91	0.11	0.846066	0.217327
0.87	0.12	0.86022	0.228168
0.85	0.39	0.85025	0.219449
0.89	0.35	0.866516	0.231321
0.85	0.31	0.857648	0.217728
0.87	0.34	0.836446	0.212132
0.85	0.28	0.840481	0.220571
0.85	0.1	0.838579	0.217848
0.88	0.4	0.863013	0.231702
0.89	0.41	0.846717	0.23011
0.86	0.38	0.855205	0.231592
0.88	0.28	0.851702	0.228238
0.92	0.18	0.852102	0.234515
0.86	0.26	0.867968	0.222773
0.85	0.33	0.831431	0.224725
0.88	0.17	0.864715	0.228068
0.89	0.33	0.831642	0.208398
0.87	0.17	0.862743	0.23019
0.86	0.16	0.851752	0.23004
0.88	0.36	0.849099	0.225185
0.85	0.15	0.848539	0.218048
0.85	0.33	0.827548	0.203373
0.87	0.23	0.849289	0.216637
0.87	0.22	0.850821	0.231532
0.86	0.33	0.858038	0.218038
0.89	0.23	0.868108	0.236687
0.88	0.11	0.857337	0.228488
0.92	0.08	0.863794	0.22969
0.88	0.2	0.855335	0.217708
0.89	0.37	0.85984	0.227808
0.87	0.27	0.857257	0.215385
0.85	0.35	0.842903	0.230641
0.87	0.1	0.866687	0.241532
0.86	0.09	0.858168	0.237057
0.85	0.17	0.862803	0.217357
0.86	0.34	0.858308	0.245596
0.89	0.2	0.862573	0.234565
0.9	0.16	0.849039	0.228929
0.92	0.53	0.862623	0.235175
0.89	0.29	0.867798	0.223554
0.86	0.41	0.84989	0.23028
0.9	0.19	0.863383	0.232803
0.87	0.12	0.848428	0.232242
0.78	0.05	0.784945	0.197207
0.92	0.18	0.868809	0.228108
0.88	0.09	0.860691	0.223383
0.85	0.21	0.848308	0.218118
0.91	0.19	0.854765	0.225636
0.87	0.35	0.859039	0.226236
0.83	0.26	0.845255	0.215495
0.88	0.16	0.857297	0.222322
0.86	0.39	0.852763	0.237558
0.9	0.13	0.860991	0.219299
0.86	0.4	0.852182	0.221952
0.85	0.36	0.849279	0.226747
0.91	0.15	0.872903	0.244204
0.89	0.25	0.853223	0.222633
0.85	0.14	0.853173	0.2199
0.88	0.22	0.846917	0.208148
0.88	0.37	0.858198	0.234234
0.88	0.14	0.845966	0.217528
0.88	0.17	0.857287	0.234294
0.89	0.13	0.847488	0.233033
0.9	0.41	0.854615	0.227568
0.88	0.22	0.864765	0.224214
0.86	0.06	0.861471	0.221822
0.87	0.25	0.846316	0.23034
0.87	0.23	0.855315	0.224925
0.87	0.31	0.866627	0.226396
0.87	0.34	0.866136	0.235516
0.88	0.14	0.841091	0.21969
0.9	0.12	0.853133	0.217898
0.85	0.2	0.841612	0.202673
0.87	0.16	0.862052	0.226076
0.86	0.25	0.859279	0.243313
0.91	0.14	0.875175	0.226797
0.84	0.22	0.847467	0.227898
0.91	0.25	0.857618	0.22991
0.86	0.22	0.846767	0.218819
0.87	0.13	0.858659	0.238599
0.91	0.18	0.852452	0.225936
0.91	0.07	0.864154	0.233073
0.87	0.36	0.853614	0.215716
0.87	0.2	0.861181	0.216156
0.88	0.3	0.85051	0.234334
0.84	0.27	0.842553	0.204605
0.88	0.36	0.857357	0.225746
0.91	0.09	0.868358	0.241872
0.91	0.39	0.862432	0.230591
0.86	0.33	0.853874	0.228609
0.89	0.16	0.869049	0.237097
0.87	0.39	0.843534	0.223083
0.85	0.35	0.828368	0.204625
0.86	0.31	0.863594	0.212553
0.84	0.17	0.849349	0.21021
0.86	0.08	0.849289	0.212713
0.87	0.33	0.858218	0.224855
0.86	0.13	0.847698	0.224034
0.85	0.17	0.835255	0.216877
0.88	0.2	0.840561	0.225796
0.86	0.1	0.847387	0.225275
0.88	0.17	0.858018	0.217157
0.85	0.11	0.85035	0.228078
0.87	0.31	0.845946	0.225255
0.91	0.23	0.850811	0.228789
0.88	0.19	0.84988	0.226136
0.87	0.14	0.865816	0.228509
0.86	0.28	0.834314	0.21984
0.89	0.2	0.860571	0.233664
0.88	0.3	0.859029	0.223273
0.87	0.22	0.850651	0.221982
0.85	0.18	0.848238	0.227257
0.85	0.35	0.861221	0.236416
0.86	0.09	0.859199	0.229479
0.88	0.38	0.862583	0.23968
0.88	0.41	0.873303	0.255756
0.87	0.14	0.837147	0.212122
0.88	0.28	0.865445	0.237207
0.9	0.4	0.871191	0.233534
0.87	0.34	0.862432	0.242823
0.86	0.09	0.845315	0.228539
0.88	0.18	0.85993	0.245576
0.85	0.38	0.83972	0.216096
0.9	0.34	0.870731	0.234765
0.88	0.4	0.842062	0.22023
0.88	0.14	0.86954	0.236156
0.85	0.27	0.855205	0.220631
0.88	0.37	0.857297	0.223193
0.84	0.24	0.854715	0.201441
0.83	0.24	0.849379	0.22997
0.86	0.26	0.852623	0.222953
0.89	0.32	0.855305	0.217487
0.87	0.33	0.861281	0.233544
0.87	0.23	0.866116	0.237037
0.87	0.43	0.865185	0.22034
0.87	0.4	0.843183	0.210501
0.91	0.06	0.853413	0.235686
0.87	0.22	0.855235	0.227267
0.88	0.08	0.854184	0.220801
0.87	0.43	0.861512	0.229449
0.88	0.38	0.856917	0.215966
0.87	0.16	0.854234	0.215876
0.87	0.32	0.846426	0.214274
0.87	0.25	0.856797	0.221491
0.84	0.43	0.856286	0.230991
0.89	0.1	0.869359	0.2196
0.89	0.22	0.871792	0.245465
0.88	0.36	0.85042	0.233684
0.89	0.33	0.848819	0.219429
0.89	0.38	0.860671	0.244454
0.86	0.38	0.849329	0.221441
0.89	0.15	0.850951	0.225976
0.89	0.43	0.861822	0.222543
0.84	0.24	0.852332	0.221321
0.86	0.11	0.845215	0.219229
0.88	0.44	0.852032	0.22959
0.88	0.36	0.865465	0.243614
0.87	0.05	0.855185	0.223694
0.83	0.1	0.851171	0.216466
0.87	0.39	0.863644	0.214595
0.88	0.14	0.847107	0.218599
0.89	0.34	0.857417	0.242983
0.9	0.41	0.857367	0.242673
0.85	0.34	0.848729	0.233113
0.89	0.39	0.855225	0.226587
0.84	0.13	0.83987	0.217598
0.88	0.27	0.852422	0.238398
0.88	0.22	0.865025	0.22959
0.91	0.21	0.863804	0.238789
0.88	0.21	0.854184	0.222242
0.85	0.29	0.845175	0.216947
0.9	0.43	0.868759	0.240901
0.88	0.28	0.865606	0.228559
0.85	0.3	0.828779	0.219129
0.9	0.22	0.876046	0.243053
0.85	0.44	0.849229	0.209219
0.87	0.38	0.841992	0.237498
0.87	0.22	0.86025	0.22972
0.85	0.18	0.842262	0.206206
0.91	0.29	0.857548	0.233183
0.87	0.4	0.862132	0.232853
0.89	0.36	0.853123	0.216306
0.92	0.11	0.852372	0.222222
0.86	0.36	0.858288	0.233834
0.81	0.19	0.840791	0.221451
0.87	0.14	0.834004	0.228028
0.88	0.08	0.848519	0.218408
0.89	0.34	0.862522	0.231822
0.84	0.26	0.832653	0.208068
0.85	0.16	0.834795	0.228509
0.89	0.13	0.861191	0.230771
0.85	0.24	0.845896	0.227738
0.87	0.28	0.846497	0.19952
0.84	0.06	0.850721	0.212042
0.89	0.27	0.853884	0.218248
0.9	0.11	0.878338	0.227457
0.91	0.05	0.860841	0.21973
0.89	0.28	0.871542	0.243524
0.9	0.21	0.853253	0.241912
0.84	0.06	0.829189	0.207427
0.83	0.31	0.839029	0.214945
0.87	0.35	0.848699	0.228599
0.89	0.13	0.853233	0.217397
0.85	0.2	0.852252	0.212472
0.85	0.25	0.841622	0.224354
0.85	0.18	0.846577	0.214875
0.84	0.07	0.839039	0.222452
0.87	0.28	0.854404	0.226637
0.9	0.24	0.858048	0.224384
0.86	0.35	0.85031	0.212242
0.85	0.43	0.83965	0.230531
0.85	0.32	0.847938	0.216787
0.9	0.36	0.864134	0.221151
0.88	0.24	0.864434	0.239469
0.89	0.41	0.853714	0.210811
0.83	0.11	0.844605	0.202723
0.84	0.11	0.833393	0.224955
0.88	0.22	0.868388	0.231842
0.83	0.13	0.840541	0.213283
0.86	0.28	0.852863	0.212422
0.88	0.46	0.854024	0.224825
0.87	0.22	0.855415	0.217307
0.89	0.17	0.867367	0.238759
0.86	0.31	0.838979	0.224084
0.83	0.27	0.842613	0.223624
0.92	0.16	0.852873	0.224835
0.87	0.26	0.845776	0.213944
0.92	0.29	0.862603	0.228849
0.86	0.15	0.854665	0.222122
0.86	0.36	0.853053	0.214585
0.85	0.13	0.859279	0.223764
0.86	0.29	0.85003	0.21974
0.88	0.54	0.862893	0.23996
0.88	0.3	0.854545	0.228859
0.88	0.29	0.857287	0.218969
0.9	0.39	0.857748	0.232593
0.83	0.26	0.837157	0.237728
0.85	0.35	0.83973	0.224434
0.88	0.19	0.856587	0.237598
0.86	0.25	0.858118	0.222973
0.85	0.07	0.84027	0.207858
